,basin_id,latitude,longitude,pax_strength,regions
483,2252,35.1383,-111.6711,239.806,North America
484,2256,45.7206,-87.0958,38.128,North America
485,2257,35.8778,-78.7875,14218.655,North America
486,2258,42.16,-76.8917,313.196,North America
487,2260,40.5089,-122.2933,103.28,North America
488,2262,44.2542,-121.15,965.46,North America
489,2264,43.6278,-72.3072,20.816,North America
490,2265,38.0364,-84.6058,1413.914,North America
491,2266,42.235,-85.5519,302.522,North America
492,2268,37.0906,-113.5931,204.594,North America
493,2270,37.2456,-93.3886,1170.34,North America
494,2272,32.7336,-117.1897,25217.901,North America
495,2274,37.6528,-97.4331,1749.922,North America
496,2278,33.9494,-83.3219,2.692,North America
497,2279,38.5356,-106.9331,72.366,North America
498,2284,38.5411,-89.8489,307.514,North America
499,2286,43.1694,-86.2383,39.506,North America
500,2288,42.9472,-87.8967,6895.174,North America
501,2290,48.3106,-114.2561,712.908,North America
502,2294,40.9161,-81.4422,815.33,North America
503,2295,33.9389,-81.1194,1284.332,North America
504,2297,40.7953,-73.1003,1561.504,North America
505,2298,35.6358,-77.3842,108.662,North America
506,2299,45.5886,-122.5975,19891.555,North America
507,2300,37.7417,-92.1408,10.932,North America
508,2302,43.9103,-92.4967,366.388,North America
509,2303,40.7883,-111.9778,26840.342,North America
510,2304,26.5361,-81.7553,11870.62,North America
511,2305,25.7933,-80.2906,82689.968,North America
512,2306,32.835,-115.5747,7.804,North America
513,2307,41.2419,-76.9211,40.992,North America
514,2309,40.4772,-88.9158,418.312,North America
515,2313,38.1386,-78.4528,811.078,North America
516,2315,32.3006,-86.3939,389.98,North America
517,2317,39.6411,-79.9175,98.212,North America
518,2320,39.0489,-84.6678,9159.374,North America
519,2323,41.2639,-72.8869,50.855,North America
520,2327,46.5681,-120.5408,138.794,North America
521,2330,43.4172,-124.2461,26.786,North America
522,2332,46.5278,-90.1328,10.242,North America
523,2333,43.1111,-76.1064,2543.938,North America
524,2334,29.9844,-95.3414,59734.504,North America
525,2335,39.1753,-76.6683,74888.282,North America
526,2336,42.9406,-78.7322,5136.13,North America
527,2340,59.6456,-151.4767,101.154,North America
528,2341,29.5336,-98.4697,10363.196,North America
529,2343,47.6172,-117.54,4113.054,North America
530,2344,39.1422,-96.6692,185.772,North America
531,2346,61.1744,-149.9964,5263.48,North America
532,2351,48.7928,-122.5375,718.294,North America
533,2352,34.99,-78.8831,433.974,North America
534,2353,46.9206,-96.8158,961.552,North America
535,2354,35.3931,-97.6008,4478.795,North America
536,2355,36.7761,-119.7181,1964.503,North America
537,2356,38.0369,-87.5325,522.268,North America
538,2359,40.6642,-89.6933,682.41,North America
539,2366,39.8617,-104.6731,69024.215,North America
540,2367,39.8344,-88.8656,17.122,North America
541,2370,31.6114,-97.2306,125.818,North America
542,2371,39.4575,-74.5772,1037.072,North America
543,2374,31.3578,-100.4964,132.8,North America
544,2375,37.6189,-122.3917,86528.67,North America
545,2380,37.8561,-80.4019,25.716,North America
546,2382,38.6956,-121.5908,13173.432,North America
547,2384,38.3406,-75.5103,140.346,North America
548,2386,32.1275,-81.2022,3243.731,North America
549,2387,43.1189,-77.6725,2553.314,North America
550,2391,35.6167,-106.0833,286.038,North America
551,2392,42.7786,-84.5872,333.954,North America
552,2393,33.9425,-118.4081,113890.455,North America
553,2394,34.5667,-98.4164,104.828,North America
554,2395,41.3119,-105.675,37.99,North America
555,2396,36.08,-115.1522,51641.496,North America
